FileType,SpecVersion,JC_ID,TermStartDate,TermEndDate,SubURI,SystemIdentifier
Subscription Taken,"2.0",647,2013/01/01,2013/12/31,"uri://kbplus/sub/acs_collection_2013_2015_nesli2",null
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"ACS Applied Materials and Interfaces","1944-8244","1944-8252",2009/01/28,1,1,,,,"http://pubs.acs.org/journal/aamick/index.html",,"","","fulltext","","American Chemical Society"
"ACS Catalysis","","2155-5435",2011/01/07,1,1,,,,"http://pubs.acs.org/journal/accacs/index.html",,"","","fulltext","","American Chemical Society"
"ACS Chemical Biology ","1554-8929","1554-8937",2006/02/01,1,1,,,,"http://pubs.acs.org/journal/acbcct/index.html ",,"10.1021/issn.1554-8929","","fulltext","","American Chemical Society"
"ACS Chemical Neuroscience","","1948-7193",2010/01/20,1,1,,,,"http://pubs.acs.org/journal/acncdm/index.html",,"","","fulltext","","American Chemical Society"
"ACS Combinatorial Science","2156-8952","2156-8944",2011/01/10,13,1,,,,"http://pubs.acs.org/journal/acsccc/index.html ",,"","","fulltext","","American Chemical Society"
"ACS Macro Letters","","2161-1653",2012/01/17,1,1,,,,"http://pubs.acs.org/journal/amlccd/index.html ",,"","","fulltext","","American Chemical Society"
"ACS Medicinal Chemistry Letters","","1948-5875",2010/04/08,1,1,,,,"http://pubs.acs.org/journal/amclct/index.html ",,"","","fulltext","","American Chemical Society"
"ACS Nano","1936-0851","1936-086X",2007/01/08,1,1,,,,"http://pubs.acs.org/journal/ancac3/index.html ",,"10.1021/issn.1936-0851","","fulltext","","American Chemical Society"
"ACS Sustainable Chemistry & Engineering","","2168-0485",2013/01/01,1,1,,,,"http://pubs.acs.org/journal/ascecg",,"","","fulltext","New title 2013","American Chemical Society"
"ACS Synthetic Biology ","","2161-5063",2012/01/20,1,1,,,,"http://pubs.acs.org/synthbio/index.html ",,"","","fulltext","","American Chemical Society"
"Accounts of Chemical Research ","0001-4842","1520-4898",1996/01/10,29,1,,,,"http://pubs.acs.org/journal/achre4/index.html ",,"10.1021/issn.0001-4842","","fulltext","","American Chemical Society"
"Analytical Chemistry ","0003-2700","1520-6882",1996/01/01,68,1,,,,"http://pubs.acs.org/journal/ancham/index.html ",,"10.1021/issn.0003-2700","","fulltext","","American Chemical Society"
"Biochemistry ","0006-2960","1520-4995",1996/01/09,35,1,,,,"http://pubs.acs.org/journal/bichaw/index.html ",,"10.1021/issn.0006-2960","","fulltext","","American Chemical Society"
