Body name,Body,"Year","School","Places Available","Applications Received by deadline","Places Offered","Looked After","Exceptional","Special Educational Needs","Sibling","Distance","Notes"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Aldersbrook Primary School",90,82,61,0,0,1,22,38,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Aldersbrook Primary School",90,93,60,0,0,0,19,41,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Aldersbrook Primary School",90,125,90,0,0,0,30,60,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Aldersbrook Primary School",90,150,90,0,0,0,32,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Aldersbrook Primary School",90,169,88,0,0,0,26,62,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Aldersbrook Primary School",90,218,90,0,0,0,29,61,"1.702"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Barley Lane Primary School",120,460,120,1,0,1,38,79,"0.765"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Barley Lane Primary School",90,387,88,0,0,0,52,36,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Barley Lane Primary School",90,351,90,0,0,0,42,48,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Barley Lane Primary School",90,301,90,0,0,0,48,42,"30 additional places agreed after the initial allocations were made on 29 March 2010"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Barley Lane Primary School",90,262,90,0,0,0,32,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Barley Lane Primary School",90,238,90,0,0,1,29,60,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Chadwell Primary School",60,222,59,0,0,0,24,35,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Chadwell Primary School",60,229,60,0,0,0,30,30,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Chadwell Primary School",60,273,60,0,0,0,31,29,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Chadwell Primary School",60,306,60,0,0,0,25,35,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Chadwell Primary School",60,375,61,0,0,0,30,31,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Chadwell Primary School",90,392,90,0,0,0,27,63,"0.696"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Christchurch Primary School",150,638,150,0,0,3,67,80,"0.416"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Christchurch Primary School",150,585,147,0,0,1,55,91,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Christchurch Primary School",120,565,120,0,0,1,70,48,"30 additional places agreed after the initial allocations were made on 04 April 2011"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Christchurch Primary School",120,406,120,1,0,1,39,79,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Christchurch Primary School",116,367,116,0,0,2,45,69,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Christchurch Primary School",90,241,90,0,1,2,41,46,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Churchfields Infants' School",120,312,120,0,3,1,43,73,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Churchfields Infants' School",120,336,120,0,1,1,41,77,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Churchfields Infants' School",120,355,121,0,0,0,49,72,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Churchfields Infants' School",120,428,119,0,0,0,53,66,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Churchfields Infants' School",120,502,120,0,0,0,60,60,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Churchfields Infants' School",120,510,121,0,0,1,61,59,"0.492"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Cleveland Infants' School",90,333,90,0,0,0,48,42,"0.573"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Cleveland Infants' School",90,405,91,0,0,0,62,29,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Cleveland Infants' School",90,421,88,1,0,0,49,38,""
