Body name,Body,"Full Property Address","Post Code","Analysis Code of Last 2010 Valuation","NDR - Analysis code description"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Mayfield High (Upper) School, Mayfield Road, Dagenham, Essex","RM8 1XS","EL","School And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","1a, Mayfield Road, Dagenham, Essex","RM8 1XS","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","The Hinds Head, 2a, Burnside Road, Dagenham, Essex","RM8 1XD","CL","Public House And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","76-80, Valence Avenue, Dagenham, Essex","RM8 1TL","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Hainault House, Billet Road, Chadwell Heath, Romford, Essex","RM6 5SX","CW1","Land Used For Storage And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Vehicle Yard At Hainault House, Billet Road, Chadwell Heath, Romford, Essex","RM6 5SX","CW1","Land Used For Storage And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Stables At Hainault House, Billet Road, Chadwell Heath, Romford, Essex","RM6 5SX","LX","Other Leisure"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 16 Hainault Works, Hainault Road, Little Heath, Romford, Essex","RM6 5SS","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 21 Hainault Works, Hainault Road, Little Heath, Romford, Essex","RM6 5SS","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 4d Hainault Works, Hainault Road, Little Heath, Romford","RM6 5SS","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 15 Hainault Works, Hainault Road, Little Heath, Romford","RM6 5SS","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Fairlop Quarry, Hainault Road, Little Heath, Romford","RM6 5SS","IM3","Concrete Batching Plant"
