Generated by opendatacommunities.org,2013-09-06T16:43:01+01:00
http://opendatacommunities.org/data/societal-wellbeing/deprivation/imd-rank-la-2010,"Index of Multiple Deprivation 2010, Local Authority District Rank of Average Rank"

,,http://reference.data.gov.uk/id/year/2010
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,2010
http://statistics.data.gov.uk/id/statistical-geography/E06000001,E06000001 Hartlepool,30
http://statistics.data.gov.uk/id/statistical-geography/E06000002,E06000002 Middlesbrough,27
http://statistics.data.gov.uk/id/statistical-geography/E06000003,E06000003 Redcar and Cleveland,71
http://statistics.data.gov.uk/id/statistical-geography/E06000004,E06000004 Stockton-on-Tees,137
http://statistics.data.gov.uk/id/statistical-geography/E06000005,E06000005 Darlington,104
http://statistics.data.gov.uk/id/statistical-geography/E06000006,E06000006 Halton,32
http://statistics.data.gov.uk/id/statistical-geography/E06000007,E06000007 Warrington,182
http://statistics.data.gov.uk/id/statistical-geography/E06000008,E06000008 Blackburn with Darwen,28
http://statistics.data.gov.uk/id/statistical-geography/E06000009,E06000009 Blackpool,10
http://statistics.data.gov.uk/id/statistical-geography/E06000010,"E06000010 Kingston upon Hull, City of",15
http://statistics.data.gov.uk/id/statistical-geography/E06000011,E06000011 East Riding of Yorkshire,216
http://statistics.data.gov.uk/id/statistical-geography/E06000012,E06000012 North East Lincolnshire,78
http://statistics.data.gov.uk/id/statistical-geography/E06000013,E06000013 North Lincolnshire,129
http://statistics.data.gov.uk/id/statistical-geography/E06000014,E06000014 York,244
http://statistics.data.gov.uk/id/statistical-geography/E06000015,E06000015 Derby,108
http://statistics.data.gov.uk/id/statistical-geography/E06000016,E06000016 Leicester,22
http://statistics.data.gov.uk/id/statistical-geography/E06000017,E06000017 Rutland,305
http://statistics.data.gov.uk/id/statistical-geography/E06000018,E06000018 Nottingham,17
http://statistics.data.gov.uk/id/statistical-geography/E06000019,"E06000019 Herefordshire, County of",145
http://statistics.data.gov.uk/id/statistical-geography/E06000020,E06000020 Telford and Wrekin,105
http://statistics.data.gov.uk/id/statistical-geography/E06000021,E06000021 Stoke-on-Trent,18
http://statistics.data.gov.uk/id/statistical-geography/E06000022,E06000022 Bath and North East Somerset,254
http://statistics.data.gov.uk/id/statistical-geography/E06000023,"E06000023 Bristol, City of",93
http://statistics.data.gov.uk/id/statistical-geography/E06000024,E06000024 North Somerset,224
http://statistics.data.gov.uk/id/statistical-geography/E06000025,E06000025 South Gloucestershire,273
http://statistics.data.gov.uk/id/statistical-geography/E06000026,E06000026 Plymouth,80
http://statistics.data.gov.uk/id/statistical-geography/E06000027,E06000027 Torbay,49
http://statistics.data.gov.uk/id/statistical-geography/E06000028,E06000028 Bournemouth,96
http://statistics.data.gov.uk/id/statistical-geography/E06000029,E06000029 Poole,187
http://statistics.data.gov.uk/id/statistical-geography/E06000030,E06000030 Swindon,201
http://statistics.data.gov.uk/id/statistical-geography/E06000031,E06000031 Peterborough,79
http://statistics.data.gov.uk/id/statistical-geography/E06000032,E06000032 Luton,60
http://statistics.data.gov.uk/id/statistical-geography/E06000033,E06000033 Southend-on-Sea,117
http://statistics.data.gov.uk/id/statistical-geography/E06000034,E06000034 Thurrock,146
http://statistics.data.gov.uk/id/statistical-geography/E06000035,E06000035 Medway,136
http://statistics.data.gov.uk/id/statistical-geography/E06000036,E06000036 Bracknell Forest,291
http://statistics.data.gov.uk/id/statistical-geography/E06000037,E06000037 West Berkshire,287
http://statistics.data.gov.uk/id/statistical-geography/E06000038,E06000038 Reading,125
http://statistics.data.gov.uk/id/statistical-geography/E06000039,E06000039 Slough,56
http://statistics.data.gov.uk/id/statistical-geography/E06000040,E06000040 Windsor and Maidenhead,303
http://statistics.data.gov.uk/id/statistical-geography/E06000041,E06000041 Wokingham,325
http://statistics.data.gov.uk/id/statistical-geography/E06000042,E06000042 Milton Keynes,211
